name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
E14,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3125
E15,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3125
E16,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3125
E17,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0625,0.0125,0.0125,0.0625,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E18,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E19,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E20,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0625,0.0125,0.0125,0.0625,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E21,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E22,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
E23,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0625,0.0125,0.0125,0.0625,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
F2,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0625,0.0125,0.0375,0.0375,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
F3,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.3000000000000003
F4,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.275
F5,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.275
F6,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.275
