# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.033,0.034,0.026,0.75,0.3,3,0.15,0.02,2,0.225,40,1.0518,0.0347,1.11554,0.035787
0.033,0.034,0.026,0.75,0.5,3,0.15,0.06,1.2,0.225,40,0.9854,0.0133,0.894617,0.045021
0.033,0.034,0.078,0.75,0.5,3,0.15,0.02,2,0.075,40,0.9263,0.0592,0.885615,0.057107
0.099,0.034,0.026,0.75,0.5,3,0.15,0.1,1.2,0.075,40,0.9743,0.0545,0.906223,0.061441
0.033,0.0204,0.078,0.75,0.5,3,0.15,0.06,2,0.075,40,0.9501,0.036,0.853121,0.058089
0.033,0.034,0.026,0.75,0.5,9,0.15,0.02,2,0.075,40,1.0818,0.0361,1.013359,0.038495
0.033,0.0204,0.026,0.75,0.5,9,0.15,0.06,2,0.075,40,1.1278,0.017,1.012077,0.046203
0.033,0.034,0.13,0.75,0.5,3,0.15,0.06,2,0.075,40,0.8782,0.0085,0.8351,0.058648
0.033,0.034,0.026,0.75,0.3,3,0.45,0.02,0.4,0.075,8,0.4817,0.012,0.495072,0.057933
0.033,0.034,0.026,0.75,0.1,3,0.45,0.06,0.4,0.075,24,0.5909,0.2017,0.647772,0.054434
0.033,0.0204,0.026,0.75,0.1,3,0.45,0.02,0.4,0.075,40,1.0443,0.0419,0.879313,0.053721
0.033,0.034,0.026,0.75,0.3,3,0.45,0.06,1.2,0.075,8,0.474,0.0088,0.531156,0.032206
0.033,0.0204,0.026,0.75,0.5,3,0.45,0.02,0.4,0.075,40,0.7546,0.0657,0.812038,0.0556
0.033,0.0204,0.026,0.75,0.5,3,0.45,0.1,1.2,0.075,8,0.42,0.0161,0.432221,0.039234
0.033,0.034,0.026,0.75,0.5,3,0.45,0.02,2,0.075,8,0.4503,0.0111,0.42691,0.039395
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,1.2508,0.0327,1.083321,0.037282
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,2,0.075,24,0.8915,0.0146,0.866342,0.040606
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.1,0.4,0.075,40,1.2402,0.079,0.9923,0.054258
0.033,0.0204,0.026,0.75,0.1,3,0.45,0.06,1.2,0.075,40,1.1232,0.0198,1.104041,0.042189
0.033,0.034,0.026,0.75,0.1,3,0.45,0.06,1.2,0.075,40,1.0791,0.1096,1.093209,0.042363
0.033,0.034,0.078,0.75,0.5,3,0.45,0.02,0.4,0.075,40,0.8831,0.0243,0.800431,0.065015
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,0.4,0.075,24,0.6555,0.035,0.589345,0.056562
0.099,0.034,0.026,0.75,0.5,3,0.45,0.02,1.2,0.075,24,0.7072,0.0076,0.680264,0.049819
0.033,0.0068,0.026,0.75,0.3,3,0.45,0.02,2,0.075,40,1.2493,0.0199,1.103031,0.062714
0.033,0.034,0.078,0.75,0.1,3,0.45,0.1,0.4,0.075,40,1.0088,0.0282,0.854663,0.066528
0.033,0.034,0.026,0.75,0.5,3,0.45,0.1,0.4,0.075,40,1.028,0.0334,0.833114,0.050413
0.033,0.034,0.026,0.75,0.1,3,0.45,0.02,2,0.075,40,1.2239,0.0498,1.211361,0.044731
0.033,0.034,0.026,0.75,0.5,3,0.45,0.1,1.2,0.075,24,0.7324,0.0125,0.643809,0.02365
0.033,0.034,0.026,0.75,0.3,3,0.45,0.06,2,0.075,24,0.7992,0.029,0.872201,0.032916
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.1,1.2,0.075,40,1.1546,0.0359,1.101272,0.051213
0.033,0.034,0.078,0.75,0.3,3,0.45,0.1,1.2,0.075,24,0.797,0.0081,0.769906,0.052797
0.033,0.034,0.026,0.75,0.5,3,0.45,0.06,1.2,0.075,40,1.0159,0.0379,0.877796,0.035917
0.033,0.0204,0.026,0.75,0.5,3,0.45,0.02,2,0.075,40,0.9702,0.0356,0.84915,0.057829
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,2,0.075,8,0.419,0.0218,0.394075,0.04565
0.099,0.034,0.026,0.75,0.1,3,0.45,0.02,2,0.075,40,1.2361,0.1669,1.252877,0.045921
0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,1.2,0.075,40,1.1328,0.0586,0.981464,0.040458
0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,2,0.075,24,0.9625,0.0478,0.764189,0.05663
0.033,0.034,0.026,0.75,0.1,9,0.45,0.02,2,0.075,40,1.2797,0.1395,1.104588,0.03562
0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,2,0.075,8,0.641,0.023,0.477907,0.047382
0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,1.2,0.075,24,0.9121,0.027,0.72505,0.040178
0.033,0.034,0.078,0.75,0.5,3,0.45,0.06,1.2,0.075,40,0.8766,0.0344,0.838712,0.045261
0.099,0.034,0.026,0.75,0.3,3,0.45,0.1,1.2,0.075,40,1.2551,0.1222,1.096676,0.054223
0.033,0.034,0.026,0.75,0.5,3,0.45,0.06,2,0.075,40,0.9949,0.0251,0.871921,0.047637
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,1.2,0.075,40,0.9232,0.0233,0.810277,0.044276
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,2,0.075,24,0.6725,0.0625,0.585669,0.043544
0.099,0.034,0.026,0.75,0.1,3,0.45,0.1,2,0.075,40,1.254,0.0509,1.265558,0.045789
0.033,0.034,0.026,0.75,0.5,9,0.45,0.1,1.2,0.075,40,1.2481,0.0357,0.95664,0.046102
0.033,0.034,0.026,0.75,0.3,9,0.45,0.06,2,0.075,40,1.5358,0.0297,1.222855,0.029907
0.033,0.034,0.078,0.75,0.5,3,0.45,0.06,2,0.075,40,0.9695,0.0341,0.839332,0.042888
0.099,0.034,0.026,0.75,0.5,3,0.45,0.06,2,0.075,40,1.1003,0.0477,0.899228,0.053998
0.033,0.034,0.026,0.75,0.3,3,0.75,0.02,1.2,0.075,8,0.4122,0.0097,0.455621,0.049389
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,0.4,0.075,24,0.3295,0.0073,0.481555,0.048642
0.033,0.034,0.026,0.75,0.1,3,0.75,0.1,1.2,0.075,8,0.4675,0.0089,0.521217,0.044218
0.033,0.034,0.026,0.75,0.1,3,0.75,0.1,0.4,0.075,24,0.7187,0.0342,0.648345,0.054219
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2,0.075,8,0.3417,0.0067,0.320432,0.05115
0.033,0.034,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,8,0.2624,0.0612,0.34129,0.05169
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40,0.5179,0.075,0.659669,0.048292
0.033,0.0068,0.026,0.75,0.5,3,0.75,0.02,2,0.075,24,0.3535,0.0385,0.489064,0.088978
0.033,0.0068,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,40,0.515,0.033,0.665335,0.070902
0.033,0.034,0.078,0.75,0.5,3,0.75,0.06,2,0.075,8,0.3387,0.0025,0.305309,0.055384
0.033,0.034,0.078,0.75,0.3,3,0.75,0.06,2,0.075,24,0.7057,0.038,0.721822,0.062694
0.033,0.034,0.026,0.45,0.5,3,0.75,0.02,2,0.075,40,0.4177,0.016,0.555255,0.090851
0.033,0.034,0.026,0.75,0.5,9,0.75,0.02,1.2,0.075,40,0.945,0.1295,0.824464,0.049002
0.033,0.034,0.026,0.75,0.1,9,0.75,0.02,2,0.075,40,1.3119,0.107,1.109305,0.051075
0.033,0.034,0.026,0.75,0.5,3,0.75,0.1,1.2,0.075,40,0.4674,0.0223,0.717638,0.040767
0.033,0.034,0.026,0.45,0.5,3,0.75,0.06,2,0.075,40,0.3242,0.053,0.536071,0.094513
0.033,0.034,0.026,0.75,0.3,9,0.75,0.1,1.2,0.075,40,1.2284,0.054,0.991953,0.044556
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,40,0.9331,0.0314,0.840321,0.058617
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.1,2,0.075,40,0.5486,0.0081,0.709224,0.08206
0.033,0.034,0.026,0.75,0.5,9,0.75,0.1,2,0.075,40,0.9929,0.0278,0.812173,0.053479
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.5446,0.0324,0.473754,0.056989
0.033,0.0204,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.8231,0.0548,0.690564,0.060871
0.165,0.0068,0.026,0.75,0.1,3,0.15,0.02,1.2,0.075,40,0.696,0.0259,0.920928,0.061198
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,0.8911,0.0685,0.852119,0.043099
0.165,0.0068,0.026,0.45,0.1,9,0.15,0.02,1.2,0.075,40,0.6059,0.0771,0.715067,0.050529
0.165,0.0068,0.026,0.45,0.1,3,0.15,0.02,2,0.075,40,0.7122,0.1198,0.913908,0.081913
0.033,0.0068,0.026,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.4785,0.1135,0.68871,0.042604
0.033,0.034,0.026,0.15,0.1,15,0.15,0.02,1.2,0.075,40,0.5206,0.0296,0.443595,0.043758
0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,40,1.0372,0.0406,0.839079,0.043325
0.033,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,1.077,0.019,0.917626,0.053371
0.033,0.034,0.026,0.15,0.1,9,0.15,0.02,2,0.075,40,0.4469,0.0041,0.644452,0.071478
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.02,2,0.075,40,0.9358,0.0434,0.746404,0.046653
0.033,0.0068,0.078,0.75,0.1,15,0.15,0.02,1.2,0.075,40,0.562,0.0762,0.634399,0.050923
