nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.9612,0.0471,rifaxamin,P8,0.227284,0.003297,0.27046796,0.00392343
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.9887,0.1319,rifaxamin,M10,0.229209,0.009233,0.27275871,0.01098727
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,2.9922,0.0819,rifaxamin,N7,0.229454,0.005733,0.27305026,0.00682227
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,3.004,0.0598,rifaxamin,M21,0.23028,0.004186,0.2740332,0.00498134
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,3.0136,0.0486,rifaxamin,O8,0.230952,0.003402,0.27483288,0.00404838
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,3.0256,0.1391,rifaxamin,N21,0.231792,0.009737,0.27583248,0.01158703
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,3.0277,0.0178,rifaxamin,O4,0.231939,0.001246,0.27600741,0.00148274
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,3.0465,0.0525,rifaxamin,N8,0.233255,0.003675,0.27757345,0.00437325
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,3.0611,0.066,rifaxamin,N5,0.234277,0.00462,0.27878963,0.0054978
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,3.1164,0.2128,rifaxamin,N20,0.238148,0.014896,0.28339612,0.01772624
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,3.1212,0.1008,rifaxamin,P6,0.238484,0.007056,0.28379596,0.00839664
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,3.1549,0.1575,rifaxamin,P7,0.240843,0.011025,0.28660317,0.01311975
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,3.2029,0.0818,rifaxamin,M9,0.244203,0.005726,0.29060157,0.00681394
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,3.283,0.1397,rifaxamin,N9,0.24981,0.009779,0.2972739,0.01163701
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,3.4279,0.0511,rifaxamin,O13,0.259953,0.003577,0.30934407,0.00425663
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.0936,0.0344,rifaxamin_to_PS,D2,0.026552,0.002408,0.03159688,0.00286552
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.0558,0.0023,rifaxamin_to_PS,D3,0.023906,0.000161,0.02844814,0.00019159
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.0525,0.0049,rifaxamin_to_PS,D4,0.023675,0.000343,0.02817325,0.00040817
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.0448,0.0049,rifaxamin_to_PS,D5,0.023136,0.000343,0.02753184,0.00040817
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.0015,rifaxamin_to_PS,D6,0.02,0.000105,0.0238,0.00012495
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.031,0.0052,rifaxamin_to_PS,D7,0.02217,0.000364,0.0263823,0.00043316
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.0837,0.0098,rifaxamin_to_PS,M2,0.025859,0.000686,0.03077221,0.00081634
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,0.0988,0.0087,rifaxamin_to_PS,M3,0.026916,0.000609,0.03203004,0.00072471
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.1256,0.0076,rifaxamin_to_PS,M4,0.028792,0.000532,0.03426248,0.00063308
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,0.1256,0.0164,rifaxamin_to_PS,M5,0.028792,0.001148,0.03426248,0.00136612
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.2428,0.0316,rifaxamin_to_PS,M6,0.036996,0.002212,0.04402524,0.00263228
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,0.2384,0.0258,rifaxamin_to_PS,M7,0.036688,0.001806,0.04365872,0.00214914
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.1834,0.0109,rifaxamin_to_PS,M8,0.032838,0.000763,0.03907722,0.00090797
