nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_sd
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,40,10,1.0484,0.1327,DH5,E18,1.994536,0.204358
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,1.0492,0.0144,DH5,N8,1.995768,0.022176
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,20,10,1.0719,0.0658,DH5,D6,2.030726,0.101332
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,1.0739,0.0052,DH5,F22,2.033806,0.008008
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,1.0799,0.0266,DH5,I13,2.043046,0.040964
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,1.0944,0.1189,DH5,P5,2.065376,0.183106
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.0995,0.0546,DH5,C5,2.07323,0.084084
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.1055,0.0057,DH5,D9,2.08247,0.008778
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,1.1112,0.0376,DH5,B17,2.091248,0.057904
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.1262,0.0406,DH5,C16,2.114348,0.062524
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.1287,0.0192,DH5,C9,2.118198,0.029568
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.1305,0.0476,DH5,I20,2.12097,0.073304
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,20,10,1.1345,0.0103,DH5,C17,2.12713,0.015862
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.135,0.0352,DH5,D11,2.1279,0.054208
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1354,0.0098,DH5,H11,2.128516,0.015092
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,1.1442,0.0165,DH5,B20,2.142068,0.02541
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1449,0.0096,DH5,H2,2.143146,0.014784
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.1463,0.0478,DH5,D3,2.145302,0.073612
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,20,10,1.1543,0.0204,DH5,F11,2.157622,0.031416
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.1629,0.033,DH5,G3,2.170866,0.05082
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10,1.1691,0.0643,DH5,E17,2.180414,0.099022
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,20,10,1.1713,0.0543,DH5,B23,2.183802,0.083622
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,20,10,1.1824,0.0443,DH5,E2,2.200896,0.068222
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,1.2029,0.0365,DH5,C4,2.232466,0.05621
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.2083,0.0135,DH5,F4,2.240782,0.02079
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,1.2145,0.0026,DH5,J10,2.25033,0.004004
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.2162,0.0229,DH5,D10,2.252948,0.035266
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.2219,0.0401,DH5,E8,2.261726,0.061754
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.2226,0.0415,DH5,E9,2.262804,0.06391
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,20,10,1.2243,0.0344,DH5,D18,2.265422,0.052976
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.2469,0.021,DH5,E19,2.300226,0.03234
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.2593,0.0332,DH5,E5,2.319322,0.051128
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.2628,0.0683,DH5,E14,2.324712,0.105182
